_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject
488, 284/21,Online Form,2021-05-27 00:00:00,No Response,2021-05-31 00:00:00,משרד התיירות,2021-07-07 00:00:00,Unjustified,37,Treatment Completed,אזרח,מידע על החברות שזכו במכרז להבאת תיירים מחוסנים
489, 270/21,Online Form,2021-08-04 00:00:00,No Response,2021-05-24 00:00:00,משרד התקשורת,2021-11-17 00:00:00,Unjustified,177,Treatment Completed,אזרח,החלטה להיטל קנס על חברת הדואר
490, 223/21,Online Form,2020-10-25 00:00:00,No Response,2021-01-05 00:00:00,המרכז הרפואי לבריאות הנפש מעלה הכרמל,2021-11-17 00:00:00,Justified,200,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות 
491, 222/21,Online Form,2020-10-27 00:00:00,No Response,2021-01-05 00:00:00,מרכז בריאות הנפש מזור,2021-11-17 00:00:00,Justified,200,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות 
492, 221/21,Online Form,2020-10-29 00:00:00,No Response,2021-01-05 00:00:00,מרכז בריאות הנפש באר שבע,2021-11-17 00:00:00,Justified,200,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות 
493, 220/21,Online Form,2020-10-29 00:00:00,No Response,2021-01-05 00:00:00,המרכז לבריאות הנפש באריעקב נסציונה מבן שבס,2021-11-17 00:00:00,Justified,200,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות 
494, 218/21,Online Form,2020-10-29 00:00:00,No Response,2021-01-05 00:00:00,המרכז לבריאות הנפש שער מנשה,2021-11-17 00:00:00,Justified,200,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות 
495, 217/21,Online Form,2020-11-17 00:00:00,No Response,2021-01-05 00:00:00,בית חולים רמבם,2021-05-23 00:00:00,Unjustified,22,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות 
496, 571/21,Online Form,2021-09-08 00:00:00,No Response,2021-02-11 00:00:00,רשות האוכלוסין וההגירה,2021-11-24 00:00:00,Unjustified,23,Treatment Completed,אזרח,"נוהל הטיפול"" של רישום ילד שנולד בחוץ לארץ לאזרחים ישראליים"""
497, 572/21,Online Form,2021-11-04 00:00:00,No Response,2021-02-11 00:00:00,צהל,2022-03-28 00:00:00,Justified,146,Treatment Completed,אחר,מידע לגבי טיפול צה''ל בחיילים שהורשעו בעבירות סמים
498, 575/21,Online Form,2021-05-26 00:00:00,No Response,2021-08-11 00:00:00,המשרד להגנת הסביבה,2022-02-07 00:00:00,Justified,91,Treatment Completed,אזרח,"רשימת דוחות במסגרת יישום אזור אוויר נקי בחיפה"""
499, 577/21,Online Form,2021-08-24 00:00:00,No Response,2021-09-11 00:00:00,משרד החינוך,2022-02-07 00:00:00,Justified,90,Treatment Completed,אזרח,"עמידה בנהלי חוזרי מנכל - לימודי יסוד"""
500, 580/21,Online Form,2021-12-08 00:00:00,Lack of Justification,2021-11-16 00:00:00,משרד התחבורה והבטיחות בדרכים,2022-02-09 00:00:00,Justified,85,Treatment Completed,אזרח,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב
501, 585/21,Online Form,2021-09-30 00:00:00,No Response,2021-11-22 00:00:00,הנהלת בתי הדין הרבניים,2022-03-24 00:00:00,Justified,122,Treatment Completed,אזרח,ישבת  דיינים בבתי דין
502, 266/22,Email,2022-07-04 00:00:00,No Response,2022-06-15 00:00:00,משרד הבריאות,2022-08-01 00:00:00,Justified,46,Treatment Completed,אזרח,רישיון תמרוק ל- listerine
503, 315/22,Email,2022-06-27 00:00:00,No Response,2022-07-28 00:00:00,משרד הבריאות,2022-08-10 00:00:00,Unjustified,13,Treatment Completed,אזרח,אי קבלת מענה לפנייה 645414
504, 328/22,Email,2022-04-04 00:00:00,Lack of Justification,2022-06-08 00:00:00,משרד הבינוי והשיכון,2024-01-24 00:00:00,Justified,535,Treatment Completed,אזרח,קבלת מסמכים לפרויקט מחיר למשתכן שבירו רמת גן
505, 383/22,Email,2022-02-21 00:00:00,No Response,2022-11-09 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-07-12 00:00:00,Justified,304,Treatment Completed,אזרח,פרוטוקולים - תחנה מרכזית תל אביב
506, 467/22,Email,2022-12-08 00:00:00,No Response,2022-04-12 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-03-09 00:00:00,Justified,94,Treatment Completed,אזרח,נתוני זיהום אוויר חברת קארדאטא בקשת מידע מס' 336640
507, 17/23,Email,2022-09-20 00:00:00,No Response,2023-10-01 00:00:00,משרד ההתיישבות,2023-02-19 00:00:00,Justified,39,Treatment Completed,אזרח,תמיכה בגרעיני משימה
508, 18/23,Email,2022-08-15 00:00:00,No Response,2023-10-01 00:00:00,משרד החינוך,2023-02-09 00:00:00,Justified,29,Treatment Completed,אזרח,בקשת מידע על ערך הנקודה במספר תקנות
509, 128/23,Email,2023-01-19 00:00:00,Lack of Justification,2023-03-27 00:00:00,משרד הכלכלה,2023-04-20 00:00:00,Unjustified,23,Treatment Completed,אזרח,מפת חלוקת קרקעות הודיה
510, 156/23,Email,2023-06-03 00:00:00,No Response,2023-03-05 00:00:00,צהל,2023-05-24 00:00:00,Justified,21,Treatment Completed,אזרח,אסמכתאות לקיום הכרזה כשטח אש
511, 250/23,Email,2020-11-15 00:00:00,No Response,2023-06-19 00:00:00,המשרד להגנת הסביבה,2023-08-08 00:00:00,Justified,42,Treatment Completed,אזרח,מטרדי ריח
512, 314/23,Email,2023-10-03 00:00:00,No Response,2023-06-08 00:00:00,משרד הבריאות,2024-01-24 00:00:00,Partially Justified,169,Treatment Completed,אזרח,הנחיות המשרד
513, 270/23,Email,2022-06-19 00:00:00,No Response,2023-10-07 00:00:00,משרד הבריאות,2023-08-10 00:00:00,Justified,29,Treatment Completed,אזרח,"תנאי מכרז קול הבריאות"""""
514, 408/23,Online Form,2022-03-08 00:00:00,No Response,2023-11-09 00:00:00,משרד הבריאות,2024-01-10 00:00:00,Justified,120,Treatment Completed,אזרח,תקציבי פרסום
515, 409/23,Online Form,2023-02-20 00:00:00,No Response,2023-11-09 00:00:00,משרד הבריאות,2024-01-10 00:00:00,Justified,120,Treatment Completed,אזרח,שיתוק רפה חד
516, 410/23,Online Form,2022-09-28 00:00:00,No Response,2023-11-09 00:00:00,משרד הבריאות,2024-01-10 00:00:00,Justified,120,Treatment Completed,אזרח,מסקנות ועדה
517, 183/23,Email,2023-03-23 00:00:00,No Response,2023-08-05 00:00:00,רשות שוק ההון הביטוח והחיסכון,2023-06-13 00:00:00,Justified,33,Treatment Completed,אזרח,חוזרי המפקח על הביטוח
518, 413/23,Online Form,2023-01-29 00:00:00,No Response,2023-07-25 00:00:00,משרד העבודה,2024-04-08 00:00:00,Justified,209,Treatment Completed,עמותה,פעולות אכיפה של מינהל הבטיחות
519, 25/24,Email,2023-07-30 00:00:00,No Response,2024-01-23 00:00:00,משרד החינוך,2024-02-26 00:00:00,Justified,33,Treatment Completed,אזרח,"החלת אופק חדש על החינוך המוכשר"""
520, 98/24,Online Form,2023-07-17 00:00:00,No Response,2024-03-17 00:00:00,משרד העבודה,2024-05-09 00:00:00,Unjustified,52,Treatment Completed,אזרח,מפעילי עגורן צריח - מנופאים
521, 100/24,Email,2024-02-20 00:00:00,No Response,2024-03-20 00:00:00,משרד הפנים,2024-03-20 00:00:00,Unjustified,0,Treatment Completed,אזרח,תיקי פיקוח
522, 122/24,Online Form,2024-08-02 00:00:00,No Response,2024-11-04 00:00:00,צהל,2024-06-20 00:00:00,Justified,66,Treatment Completed,עמותה,"גיוס מלשביות וועדות ערר"""
523, 172/23,Email,2023-02-14 00:00:00,No Response,2023-09-05 00:00:00,הרשות הארצית לכבאות והצלה,2023-05-31 00:00:00,Justified,22,Treatment Completed,אזרח,שריפות פסולת
524, 362/22,Email,2022-01-20 00:00:00,No Response,2022-08-25 00:00:00,משרד ראש הממשלה,2022-09-14 00:00:00,Justified,20,Treatment Completed,עמותה,נתונים על פעילות מערך הגיור
525, 272/22,Email,2022-10-04 00:00:00,No Response,2022-06-20 00:00:00,משרד העבודה,2022-08-01 00:00:00,Justified,42,Treatment Completed,חברה,מפקחי עבודה פעילים ותאריכי הסמכה
526, 251/22,Email,2022-04-26 00:00:00,Lack of Justification,2022-01-06 00:00:00,משטרת ישראל,2022-06-13 00:00:00,Unjustified,4,Treatment Completed,אזרח,תלונות שהוגשו על ידי עיריית נס ציונה על אי שליחת ילדים למסגרת חינוכית
527, 250/22,Email,2022-03-02 00:00:00,No Response,2022-07-06 00:00:00,משרד הבריאות,2022-08-01 00:00:00,Justified,53,Treatment Completed,אזרח,"דוח הוועדה בנושא גזענות, אפליה והדרה במערכת הבריאות"
528, 24/22,Online Form,2021-07-11 00:00:00,No Response,2022-01-20 00:00:00,משרד החינוך,2022-02-14 00:00:00,Justified,25,Treatment Completed,עמותה,תקצוב ארגוני המורים
529, 234/22,Online Form,2022-06-02 00:00:00,No Response,2022-05-31 00:00:00,משרד העבודה,2022-07-19 00:00:00,Justified,49,Treatment Completed,עמותה,אכיפת איסור העסקה ביום המנוחה
530, 205/22,Email,2022-12-01 00:00:00,No Response,2022-11-05 00:00:00,משרד המשפטים,2022-05-23 00:00:00,Unjustified,11,Treatment Completed,אזרח,מידע לעניין נזקי גוף משטרת ישראל
531, 407/23,Online Form,2022-12-25 00:00:00,No Response,2023-12-09 00:00:00,משרד החקלאות ופיתוח הכפר,2024-02-29 00:00:00,Justified,170,Treatment Completed,עמותה,תקציבי פרסום
532, 77/23,Online Form,2022-08-31 00:00:00,No Response,2023-02-03 00:00:00,משרד החינוך,2023-03-29 00:00:00,Justified,27,Treatment Completed,אזרח,ציוני בגרות
533, 567/21,Online Form,2021-08-26 00:00:00,No Response,2021-10-31 00:00:00,רשות המסים בישראל,2021-11-07 00:00:00,Unjustified,7,Treatment Completed,אזרח,שאלות בנושא רשימון ייצוא מרוכז
534, 213/22,Online Form,2022-02-22 00:00:00,No Response,2022-05-16 00:00:00,משרד הבריאות,2022-06-07 00:00:00,Justified,22,Treatment Completed,עמותה,מס' פניה 651507
535, 233/22,Email,2021-12-22 00:00:00,No Response,2022-05-30 00:00:00,המשרד להגנת הסביבה,2022-07-12 00:00:00,Justified,43,Treatment Completed,אזרח,מידע על אתר פסולת פיראטי
536, 255/23,Online Form,2022-07-11 00:00:00,No Response,2023-01-07 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2023-09-11 00:00:00,Justified,72,Treatment Completed,עמותה,שריפות פסולת ואכיפה סביבתית
537, 298/22,Email,2022-03-31 00:00:00,Lack of Justification,2022-12-07 00:00:00,רשות המסים בישראל,2022-08-11 00:00:00,Unjustified,24,Treatment Completed,אזרח,עסקת הפקעת מקרקעין - מתחם פיכמן חולון
538, 70/24,Online Form,2023-09-08 00:00:00,No Response,2024-03-03 00:00:00,משרד הבריאות,2024-04-18 00:00:00,Justified,46,Treatment Completed,עמותה,העתק הסכם משרד הבריאות
539, 635/21,Online Form,2021-10-26 00:00:00,No Response,2021-12-27 00:00:00,משרד הבריאות,2022-02-09 00:00:00,Justified,44,Treatment Completed,אזרח,אי מתן מענה לפנייה דרך חוק חופש המידע
540, 307/22,Email,2022-06-20 00:00:00,No Response,2022-07-21 00:00:00,משרד החינוך,2022-09-14 00:00:00,Justified,55,Treatment Completed,אזרח,אופן החלת חוק חינוך חובה וחינם
541, 495/23,Online Form,2022-12-25 00:00:00,No Response,2023-12-14 00:00:00,משרד החקלאות ופיתוח הכפר,2024-03-18 00:00:00,Justified,95,Treatment Completed,עמותה,פרסום מזון וצער בעלי חיים
542, 22/22,Online Form,2021-09-30 00:00:00,No Response,2022-01-19 00:00:00,משרד הבריאות,2022-05-26 00:00:00,Justified,127,Treatment Completed,אזרח,כמות ניפוקי קנאביס רפואי בפועל
543, 496/22,Online Form,2022-02-10 00:00:00,No Response,2022-12-23 00:00:00,שירות בתי הסוהר,2022-12-28 00:00:00,Unjustified,5,Treatment Completed,אזרח,בקשת מידע
544, 377/22,Email,2022-05-30 00:00:00,Lack of Justification,2022-06-09 00:00:00,משרד החוץ,2023-05-04 00:00:00,Unjustified,240,Treatment Completed,אזרח,פרוטוקול ישיבה מ02/2022
545, 329/22,Online Form,2021-06-20 00:00:00,No Response,2022-09-08 00:00:00,משרד המשפטים,2023-12-31 00:00:00,Justified,509,Treatment Completed,אחר,"מסמכים שונים -יועמש"""
546, 114/24,Online Form,2024-01-17 00:00:00,No Response,2024-10-04 00:00:00,צהל,2024-06-06 00:00:00,Justified,57,Treatment Completed,עמותה,"כלבי שירות בצהל"""
547, 254/22,Online Form,2022-01-27 00:00:00,No Response,2022-12-06 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2022-07-18 00:00:00,Justified,36,Treatment Completed,אזרח,צו 348: הנחיות מנהליות ומידע
548, 92/24,Online Form,2024-04-02 00:00:00,No Response,2024-03-14 00:00:00,משרד התחבורה והבטיחות בדרכים,2024-06-26 00:00:00,Justified,105,Treatment Completed,אזרח,ביצוע בפועל של קווים שונים 2022-2023
549, 363/22,Online Form,2022-05-29 00:00:00,No Response,2022-08-27 00:00:00,משרד הבריאות,2023-05-04 00:00:00,Justified,251,Treatment Completed,אזרח,"קבלת דוח מומחה חיצוני"""
550, 304/22,Online Form,2022-05-07 00:00:00,No Response,2022-07-20 00:00:00,משרד העבודה,2022-08-01 00:00:00,Unjustified,12,Treatment Completed,אזרח,מידע על צהרונים ופרטי קשר
551, 323/23,Online Form,2023-12-03 00:00:00,No Response,2023-11-08 00:00:00,משרד החקלאות ופיתוח הכפר,2023-08-31 00:00:00,Justified,20,Treatment Completed,אחר,נוהל המלצות להעסקת עובדים פלסטינים
552, 131/23,Online Form,2023-01-30 00:00:00,No Response,2023-03-29 00:00:00,משרד החקלאות ופיתוח הכפר,2023-08-24 00:00:00,Justified,148,Treatment Completed,אזרח,פיקוח השירות הוטרינרי על אוניות המשמשות להובלת מקנה
553, 188/23,Online Form,2022-12-22 00:00:00,No Response,2023-05-14 00:00:00,משרד הבריאות,2023-07-25 00:00:00,Justified,72,Treatment Completed,אזרח,מידע בדבר פעילות לאכיפת נוהל השתתפות סטודנטים 
554, 296/23,Online Form,2023-04-20 00:00:00,No Response,2023-07-27 00:00:00,צהל,2023-09-21 00:00:00,Justified,56,Treatment Completed,עמותה,"פרישה ושחרור מצהל נוכח נסיבות רפואיות"""
555, 48/23,Email,2023-06-01 00:00:00,No Response,2023-09-02 00:00:00,משרד האוצר,2023-06-08 00:00:00,Unjustified,119,Treatment Completed,עמותה,פגישות נציגי משרד האוצר עם נציגי משרד הביטחון בנושא הפנסיה הצוברת של משרתי הקבע
556, 150/23,Email,2023-09-03 00:00:00,No Response,2023-04-27 00:00:00,משרד החינוך,2023-06-07 00:00:00,Justified,41,Treatment Completed,עמותה,הרחקות של תלמידים עם אוטיזם ממסגרות החינוך
557, 201/23,Email,2022-12-21 00:00:00,No Response,2023-05-23 00:00:00,משרד הבריאות,2023-09-04 00:00:00,Justified,103,Treatment Completed,אזרח,השמדות קנאביס רפואי
558, 202/23,Email,2023-01-15 00:00:00,No Response,2023-05-23 00:00:00,משרד הבריאות,2023-09-04 00:00:00,Justified,103,Treatment Completed,אזרח,רישיונות קונסטרוקטיביים + יבוא ויצוא
559, 99/22,Online Form,2021-10-20 00:00:00,No Response,2022-03-13 00:00:00,משרד החקלאות ופיתוח הכפר,2022-05-30 00:00:00,Justified,78,Treatment Completed,עמותה,היתרי מופעים עם בעלי חיים
560, 220/23,Online Form,2023-03-30 00:00:00,No Response,2023-08-06 00:00:00,צהל,2024-02-08 00:00:00,Justified,245,Treatment Completed,עמותה,תקופת ההסתגלות השנייה
561, 84/22,Online Form,2022-01-02 00:00:00,No Response,2022-02-03 00:00:00,רשות האוכלוסין וההגירה,2022-03-07 00:00:00,Unjustified,6,Treatment Completed,אזרח,בקשה לקבלת מידע מכח חוק חופש המידע
562, 203/23,Email,2023-06-02 00:00:00,No Response,2023-05-24 00:00:00,משרד הבריאות,2023-09-04 00:00:00,Justified,103,Treatment Completed,אזרח,נתוני משאף קנאביס רפואי
563, 14/24,Email,2023-02-11 00:00:00,No Response,2024-07-01 00:00:00,משרד החינוך,2024-01-10 00:00:00,Unjustified,0,Treatment Completed,אזרח,מסמכים
564, 612/21,Online Form,2021-12-15 00:00:00,No Response,2021-12-15 00:00:00,משרד החינוך,2022-04-28 00:00:00,Justified,134,Treatment Completed,אזרח,בתי ספר מצטיינים
