_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status,Complainant Type,Freedom of Information Request Subject,Complaint Receipt Year,Complaint Receipt Month,Initial Response Days,Justified
452, 353/21,Online Form,2021-06-04 00:00:00,No Response,2021-07-19 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2022-05-30 00:00:00,Justified,315.0,Treatment Completed,חברה,יומני פגישות התייעצות לדוח RIA בקשה 260862,2021,7,45,1
453, 355/21,Online Form,2020-09-24 00:00:00,No Response,2021-07-20 00:00:00,הנהלת בתי הדין הרבניים,2022-03-09 00:00:00,Unjustified,232.0,Treatment Completed,אזרח,מניעויות דיינים,2021,7,299,0
454, 363/21,Online Form,2021-04-20 00:00:00,No Response,2021-07-21 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2022-05-26 00:00:00,Justified,309.0,Treatment Completed,חברה,פגישות נציגי משרד התחבורה לדוח הria בקשה 264938,2021,7,92,1
455, 364/21,Online Form,2021-04-04 00:00:00,No Response,2021-07-21 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2022-05-26 00:00:00,Justified,309.0,Treatment Completed,חברה,רישום דגם עגורן בפנקס עגורנים בקשה 260898,2021,7,108,1
456, 367/21,Online Form,2021-04-04 00:00:00,No Response,2021-07-23 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2021-08-30 00:00:00,Justified,38.0,Treatment Completed,חברה,יומני פגישות עובדי מינהל הבטיחות לדוח הria,2021,7,110,1
457, 382/21,Online Form,2021-07-14 00:00:00,No Response,2021-06-08 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2021-08-09 00:00:00,Unjustified,3.0,Treatment Completed,חברה,מי הוא גורם מקצוע למתן תשובה במנהל הבטיחות,2021,6,0,0
458, 466/21,Online Form,2021-01-09 00:00:00,No Response,2021-01-10 00:00:00,הנהלת בתי הדין הרבניים,2022-03-09 00:00:00,Justified,159.0,Treatment Completed,אזרח,רשימת תיקים שטרם נסגרו,2021,1,1,1
459, 372/22,Email,2022-02-06 00:00:00,No Response,2022-08-31 00:00:00,רשות המסים בישראל,2023-05-04 00:00:00,Justified,242.0,Treatment Completed,אזרח,אירועי שומר החומות - פירוט המידע בדבר פיצויים ששולמו או שהוחלט כי ישולמו בגין נזקי רכוש,2022,8,206,1
460, 62/23,Email,2022-08-24 00:00:00,No Response,2023-02-18 00:00:00,משרד הבריאות,2023-04-20 00:00:00,Justified,60.0,Treatment Completed,אזרח,בקשה לקבלת תקנה,2023,2,178,1
461, 159/23,Email,2023-03-17 00:00:00,No Response,2023-04-05 00:00:00,רשות האכיפה והגבייה,2023-05-09 00:00:00,Justified,5.0,Treatment Completed,אזרח,קבלת מידע אודות עסק חוות השלושה,2023,4,19,1
462, 237/23,Email,2023-12-01 00:00:00,No Response,2023-06-20 00:00:00,משרד הבינוי והשיכון,2023-06-28 00:00:00,Justified,8.0,Treatment Completed,אזרח,הגדרת מיצוי כושר השתכרות,2023,6,0,1
463, 142/24,Email,2023-09-13 00:00:00,No Response,2024-02-05 00:00:00,המשרד לשירותי דת,2024-05-29 00:00:00,,103.0,Unknown,עמותה,מינוי נשים לתפקידים בכירים במועצות דתיות,2024,2,145,0
464, 143/24,Email,2024-03-13 00:00:00,No Response,2024-01-05 00:00:00,משרד החינוך,2024-05-22 00:00:00,Justified,20.0,Treatment Completed,אזרח,היקף סל שירותים,2024,1,0,1
465, 218/24,Online Form,2024-03-26 00:00:00,No Response,2024-06-22 00:00:00,משרד החינוך,2024-06-26 00:00:00,Justified,3.0,Treatment Completed,אזרח,תמריצים לעובדי ההוראה ים המלח,2024,6,88,1
466, 190/21,Online Form,2021-04-18 00:00:00,Lack of Justification,2021-04-26 00:00:00,מועצה אזורית אלונה,2022-08-03 00:00:00,Justified,464.0,Treatment Completed,אזרח,בדיקה בדיקה111,2021,4,8,1
467, 191/21,Email,2021-04-18 00:00:00,Lack of Justification,2021-04-26 00:00:00,בית חולים אסף הרופא,2024-05-27 00:00:00,Partially Justified,1127.0,Treatment Completed,אזרח,בדיקה בדיקה,2021,4,8,0
468, 200/21,Online Form,2021-10-02 00:00:00,No Response,2021-04-27 00:00:00,משטרת ישראל,2022-01-27 00:00:00,Unjustified,276.0,Treatment Completed,אזרח,רשימת כל התלונות שהגיש המתלונן למשטרה נגד גרושתו.,2021,4,0,0
469, 204/21,Online Form,2021-02-21 00:00:00,No Response,2021-04-27 00:00:00,משרד המשפטים,2021-05-04 00:00:00,Unjustified,7.0,Treatment Completed,אזרח,אי מתן מענה על בקשת חופש מידע,2021,4,65,0
470, 288/21,Online Form,2021-01-04 00:00:00,No Response,2021-03-06 00:00:00,משרד הבריאות,2021-06-22 00:00:00,Unjustified,19.0,Treatment Completed,עמותה,שיווק תמרוקים וניסויים בבעלי חיים,2021,3,61,0
471, 304/21,Online Form,2021-04-04 00:00:00,No Response,2021-10-06 00:00:00,משרד האוצר,2021-11-16 00:00:00,Justified,159.0,Treatment Completed,אזרח,דרגת שכר בשירות המדינה,2021,10,185,1
472, 318/21,Online Form,2020-11-23 00:00:00,No Response,2021-06-22 00:00:00,משרד ראש הממשלה,2021-12-14 00:00:00,Justified,175.0,Treatment Completed,עמותה,החלטת ועדת השרים לביטחון לאומי ב/44 מיום 20.6.10,2021,6,211,1
473, 323/21,Online Form,2021-11-04 00:00:00,No Response,2021-06-27 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2022-03-10 00:00:00,Justified,256.0,Treatment Completed,אחר,יישום תקנה 3(ב) לתקנות הבטיחות בעבודה,2021,6,0,1
474, 325/21,Online Form,2021-02-03 00:00:00,No Response,2021-06-28 00:00:00,הנהלת בתי הדין הרבניים,2022-03-10 00:00:00,Justified,255.0,Treatment Completed,עמותה,הליכי בירור יהדות,2021,6,145,1
475, 405/21,Online Form,2021-04-28 00:00:00,No Response,2021-08-24 00:00:00,משרד האוצר,2021-08-30 00:00:00,Justified,7.0,Treatment Completed,אזרח,מידע לגבי מערכת מלשינון,2021,8,118,1
476, 423/21,Online Form,2021-08-24 00:00:00,Fees,2021-05-09 00:00:00,הרשות הארצית לכבאות והצלה,2022-03-10 00:00:00,Unjustified,187.0,Treatment Completed,עמותה,מקרי הצתה שנחקרו בשנים 2015-2021 בחשד להצתה,2021,5,0,0
477, 484/21,Online Form,2021-02-09 00:00:00,Lack of Justification,2021-10-15 00:00:00,משרד הבינוי והשיכון,2022-03-10 00:00:00,Unjustified,147.0,Treatment Completed,עמותה,דיור ציבורי מכר דירות,2021,10,248,0
478, 504/21,Online Form,2021-08-16 00:00:00,No Response,2021-10-24 00:00:00,משרד המשפטים,2022-03-16 00:00:00,Justified,143.0,Treatment Completed,עמותה,מספר כתבי אישום שהגישה פרקליטות המדינה בשנים 2021-2015 בגין הצתה לפי סעיף 448 (א) לחוק העונשין.,2021,10,69,1
479, 475/21,Online Form,2021-06-21 00:00:00,No Response,2021-08-10 00:00:00,משרד החינוך,2022-02-09 00:00:00,Justified,124.0,Treatment Completed,אזרח,בקשת מידע על תשלומי הורים בחטיבת ביניים בר לב בכפר,2021,8,50,1
480, 457/21,Online Form,2021-07-22 00:00:00,No Response,2021-09-29 00:00:00,רשות המסים בישראל,2022-03-10 00:00:00,Unjustified,162.0,Treatment Completed,אזרח,מתן מידע אודות חברת מעטים,2021,9,69,0
481, 343/21,Online Form,2021-02-23 00:00:00,No Response,2021-12-07 00:00:00,משרד הבריאות,2022-03-16 00:00:00,Justified,247.0,Treatment Completed,אזרח,מספר המונשמים בכל בתי החולים בשנים האחרונות,2021,12,287,1
482, 342/21,Online Form,2021-04-27 00:00:00,No Response,2021-12-07 00:00:00,משרד הפנים,2021-08-30 00:00:00,Justified,49.0,Treatment Completed,אזרח,"אישורי מנכל משרד הפנים והממונה ביו""ש""",2021,12,224,1
483, 341/21,Online Form,2021-04-27 00:00:00,No Response,2021-12-07 00:00:00,משרד האוצר,2022-02-14 00:00:00,Unjustified,217.0,Treatment Completed,אזרח,"אישורי מנכל משרד האוצר לוועד מקומי שערי תקווה""",2021,12,224,0
484, 295/21,Online Form,2021-01-28 00:00:00,No Response,2021-06-06 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2021-08-16 00:00:00,Justified,71.0,Treatment Completed,אזרח,חאן לבונה,2021,6,129,1
485, 294/21,Online Form,2021-09-02 00:00:00,No Response,2021-06-06 00:00:00,משרד ראש הממשלה,2021-08-30 00:00:00,Justified,85.0,Treatment Completed,עמותה,מערך הגיור,2021,6,0,1
486, 290/21,Online Form,2021-01-26 00:00:00,No Response,2021-05-06 00:00:00,המשרד להגנת הסביבה,2021-07-28 00:00:00,Justified,54.0,Treatment Completed,אזרח,שיעורי מחזור של בקבוקים גדולים,2021,5,100,1
487, 286/21,Online Form,2021-02-13 00:00:00,No Response,2021-02-06 00:00:00,משרד ראש הממשלה,2021-08-18 00:00:00,Justified,77.0,Treatment Completed,אזרח,גיור (שתי בקשות שונות),2021,2,0,1
488, 284/21,Online Form,2021-05-27 00:00:00,No Response,2021-05-31 00:00:00,משרד התיירות,2021-07-07 00:00:00,Unjustified,37.0,Treatment Completed,אזרח,מידע על החברות שזכו במכרז להבאת תיירים מחוסנים,2021,5,4,0
489, 270/21,Online Form,2021-08-04 00:00:00,No Response,2021-05-24 00:00:00,משרד התקשורת,2021-11-17 00:00:00,Unjustified,177.0,Treatment Completed,אזרח,החלטה להיטל קנס על חברת הדואר,2021,5,0,0
490, 223/21,Online Form,2020-10-25 00:00:00,No Response,2021-01-05 00:00:00,המרכז הרפואי לבריאות הנפש מעלה הכרמל,2021-11-17 00:00:00,Justified,200.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,1,72,1
491, 222/21,Online Form,2020-10-27 00:00:00,No Response,2021-01-05 00:00:00,מרכז בריאות הנפש מזור,2021-11-17 00:00:00,Justified,200.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,1,70,1
492, 221/21,Online Form,2020-10-29 00:00:00,No Response,2021-01-05 00:00:00,מרכז בריאות הנפש באר שבע,2021-11-17 00:00:00,Justified,200.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,1,68,1
493, 220/21,Online Form,2020-10-29 00:00:00,No Response,2021-01-05 00:00:00,"המרכז לבריאות הנפש באר-יעקב נס-ציונה מבן (שב""ס)",2021-11-17 00:00:00,Justified,200.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,1,68,1
494, 218/21,Online Form,2020-10-29 00:00:00,No Response,2021-01-05 00:00:00,המרכז לבריאות הנפש שער מנשה,2021-11-17 00:00:00,Justified,200.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,1,68,1
495, 217/21,Online Form,2020-11-17 00:00:00,No Response,2021-01-05 00:00:00,בית חולים רמבם,2021-05-23 00:00:00,Unjustified,22.0,Treatment Completed,אזרח,נתונים על מחלקות פסיכיאטריות ,2021,1,49,0
496, 571/21,Online Form,2021-09-08 00:00:00,No Response,2021-02-11 00:00:00,רשות האוכלוסין וההגירה,2021-11-24 00:00:00,Unjustified,23.0,Treatment Completed,אזרח,"נוהל הטיפול"" של רישום ילד שנולד בחוץ לארץ לאזרחים ישראליים""",2021,2,0,0
497, 572/21,Online Form,2021-11-04 00:00:00,No Response,2021-02-11 00:00:00,צבא הגנה לישראל,2022-03-28 00:00:00,Justified,146.0,Treatment Completed,אחר,מידע לגבי טיפול צה''ל בחיילים שהורשעו בעבירות סמים,2021,2,0,1
498, 575/21,Online Form,2021-05-26 00:00:00,No Response,2021-08-11 00:00:00,המשרד להגנת הסביבה,2022-02-07 00:00:00,Justified,91.0,Treatment Completed,אזרח,"רשימת דוחות במסגרת יישום אזור אוויר נקי בחיפה""",2021,8,77,1
499, 577/21,Online Form,2021-08-24 00:00:00,No Response,2021-09-11 00:00:00,משרד החינוך,2022-02-07 00:00:00,Justified,90.0,Treatment Completed,אזרח,"עמידה בנהלי חוזרי מנכל - לימודי יסוד""",2021,9,18,1
500, 580/21,Online Form,2021-12-08 00:00:00,Lack of Justification,2021-11-16 00:00:00,משרד התחבורה והבטיחות בדרכים,2022-02-09 00:00:00,Justified,85.0,Treatment Completed,אזרח,תקצוב משרד התחבורה פרויקטים תחבורתיים וסובסידיות ב,2021,11,0,1
501, 585/21,Online Form,2021-09-30 00:00:00,No Response,2021-11-22 00:00:00,הנהלת בתי הדין הרבניים,2022-03-24 00:00:00,Justified,122.0,Treatment Completed,אזרח,ישבת  דיינים בבתי דין,2021,11,53,1
502, 266/22,Email,2022-07-04 00:00:00,No Response,2022-06-15 00:00:00,משרד הבריאות,2022-08-01 00:00:00,Justified,46.0,Treatment Completed,אזרח,רישיון תמרוק ל- listerine,2022,6,0,1
503, 315/22,Email,2022-06-27 00:00:00,No Response,2022-07-28 00:00:00,משרד הבריאות,2022-08-10 00:00:00,Unjustified,13.0,Treatment Completed,אזרח,אי קבלת מענה לפנייה 645414,2022,7,31,0
504, 328/22,Email,2022-04-04 00:00:00,Lack of Justification,2022-06-08 00:00:00,משרד הבינוי והשיכון,2024-01-24 00:00:00,Justified,535.0,Treatment Completed,אזרח,קבלת מסמכים לפרויקט מחיר למשתכן שבירו רמת גן,2022,6,65,1
505, 383/22,Email,2022-02-21 00:00:00,No Response,2022-11-09 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-07-12 00:00:00,Justified,304.0,Treatment Completed,אזרח,פרוטוקולים - תחנה מרכזית תל אביב,2022,11,261,1
506, 467/22,Email,2022-12-08 00:00:00,No Response,2022-04-12 00:00:00,משרד התחבורה והבטיחות בדרכים,2023-03-09 00:00:00,Justified,94.0,Treatment Completed,אזרח,נתוני זיהום אוויר חברת קארדאטא בקשת מידע מס' 336640,2022,4,0,1
507, 17/23,Email,2022-09-20 00:00:00,No Response,2023-10-01 00:00:00,משרד ההתיישבות,2023-02-19 00:00:00,Justified,39.0,Treatment Completed,אזרח,תמיכה בגרעיני משימה,2023,10,376,1
508, 18/23,Email,2022-08-15 00:00:00,No Response,2023-10-01 00:00:00,משרד החינוך,2023-02-09 00:00:00,Justified,29.0,Treatment Completed,אזרח,בקשת מידע על ערך הנקודה במספר תקנות,2023,10,412,1
509, 128/23,Email,2023-01-19 00:00:00,Lack of Justification,2023-03-27 00:00:00,משרד הכלכלה,2023-04-20 00:00:00,Unjustified,23.0,Treatment Completed,אזרח,מפת חלוקת קרקעות הודיה,2023,3,67,0
510, 156/23,Email,2023-06-03 00:00:00,No Response,2023-03-05 00:00:00,צבא הגנה לישראל,2023-05-24 00:00:00,Justified,21.0,Treatment Completed,אזרח,אסמכתאות לקיום הכרזה כשטח אש,2023,3,0,1
511, 250/23,Email,2020-11-15 00:00:00,No Response,2023-06-19 00:00:00,המשרד להגנת הסביבה,2023-08-08 00:00:00,Justified,42.0,Treatment Completed,אזרח,מטרדי ריח,2023,6,946,1
512, 314/23,Email,2023-10-03 00:00:00,No Response,2023-06-08 00:00:00,משרד הבריאות,2024-01-24 00:00:00,Partially Justified,169.0,Treatment Completed,אזרח,הנחיות המשרד,2023,6,0,0
513, 270/23,Email,2022-06-19 00:00:00,No Response,2023-10-07 00:00:00,משרד הבריאות,2023-08-10 00:00:00,Justified,29.0,Treatment Completed,אזרח,"תנאי מכרז קול הבריאות""""",2023,10,475,1
514, 408/23,Online Form,2022-03-08 00:00:00,No Response,2023-11-09 00:00:00,משרד הבריאות,2024-01-10 00:00:00,Justified,120.0,Treatment Completed,אזרח,תקציבי פרסום,2023,11,611,1
515, 409/23,Online Form,2023-02-20 00:00:00,No Response,2023-11-09 00:00:00,משרד הבריאות,2024-01-10 00:00:00,Justified,120.0,Treatment Completed,אזרח,שיתוק רפה חד,2023,11,262,1
516, 410/23,Online Form,2022-09-28 00:00:00,No Response,2023-11-09 00:00:00,משרד הבריאות,2024-01-10 00:00:00,Justified,120.0,Treatment Completed,אזרח,מסקנות ועדה,2023,11,407,1
517, 183/23,Email,2023-03-23 00:00:00,No Response,2023-08-05 00:00:00,רשות שוק ההון הביטוח והחיסכון,2023-06-13 00:00:00,Justified,33.0,Treatment Completed,אזרח,חוזרי המפקח על הביטוח,2023,8,135,1
518, 413/23,Online Form,2023-01-29 00:00:00,No Response,2023-07-25 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-04-08 00:00:00,Justified,209.0,Treatment Completed,עמותה,פעולות אכיפה של מינהל הבטיחות,2023,7,177,1
519, 25/24,Email,2023-07-30 00:00:00,No Response,2024-01-23 00:00:00,משרד החינוך,2024-02-26 00:00:00,Justified,33.0,Treatment Completed,אזרח,"החלת אופק חדש על החינוך המוכשר""",2024,1,177,1
520, 98/24,Online Form,2023-07-17 00:00:00,No Response,2024-03-17 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2024-05-09 00:00:00,Unjustified,52.0,Treatment Completed,אזרח,מפעילי עגורן צריח - מנופאים,2024,3,244,0
521, 100/24,Email,2024-02-20 00:00:00,No Response,2024-03-20 00:00:00,משרד הפנים,2024-03-20 00:00:00,Unjustified,0.0,Treatment Completed,אזרח,תיקי פיקוח,2024,3,29,0
522, 122/24,Online Form,2024-08-02 00:00:00,No Response,2024-11-04 00:00:00,צבא הגנה לישראל,2024-06-20 00:00:00,Justified,66.0,Treatment Completed,עמותה,"גיוס מלשביות וועדות ערר""",2024,11,94,1
523, 172/23,Email,2023-02-14 00:00:00,No Response,2023-09-05 00:00:00,הרשות הארצית לכבאות והצלה,2023-05-31 00:00:00,Justified,22.0,Treatment Completed,אזרח,שריפות פסולת,2023,9,203,1
524, 362/22,Email,2022-01-20 00:00:00,No Response,2022-08-25 00:00:00,משרד ראש הממשלה,2022-09-14 00:00:00,Justified,20.0,Treatment Completed,עמותה,נתונים על פעילות מערך הגיור,2022,8,217,1
525, 272/22,Email,2022-10-04 00:00:00,No Response,2022-06-20 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2022-08-01 00:00:00,Justified,42.0,Treatment Completed,חברה,מפקחי עבודה פעילים ותאריכי הסמכה,2022,6,0,1
