_id,מספר התלונה,תאריך הגשת הבקשה למידע,תאריך קבלת תלונה,ערוץ קבלת תלונה,סוג המתלונן,שם המתלונן,נושא התלונה,שם הנילון,נושא בקשת חופש מידע,סטטוס,החלטה,תאריך סיום טיפול,מספר ימי טיפול
596, 111/24,2023-11-14 00:00:00,2024-09-04 00:00:00,טופס מקוון,עמותה,המרכז להעצמת האזרח,אי מתן מענה,משרד הבריאות,יישום חוק חובת דיווח,סיום טיפול,מוצדק,06/06/2024,58
597, 73/23,2023-02-22 00:00:00,2023-02-28 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,אי קבלת מענה,סיום טיפול,בלתי מוצדק,01/03/2023,1
598, 387/22,2022-07-31 00:00:00,2022-09-20 00:00:00,טופס מקוון,חברה,,אי מתן מענה,משרד העבודה,פיגומים ממוכנים,סיום טיפול,מוצדק,04/05/2023,226
599, 258/24,2024-05-28 00:00:00,2024-07-15 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,תיעוד מגן אסיף,סיום טיפול,מוצדק,23/07/2024,8
600, 112/24,2023-11-14 00:00:00,2024-09-04 00:00:00,טופס מקוון,עמותה,המרכז להעצמת האזרח,אי מתן מענה,משרד החינוך,יישום חוק חובת דיווח,סיום טיפול,מוצדק,02/05/2024,23
601, 53/23,2023-09-01 00:00:00,2023-02-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,אי מתן מענה ממשרד התחבורה,סיום טיפול,מוצדק,05/03/2023,20
602, 479/23,2023-02-10 00:00:00,2023-11-18 00:00:00,טופס מקוון,אחר,,אי מתן מענה,הרשות הארצית לכבאות והצלה,אי קבלת מענה ומענה משתלח מצד הגורם ברשות,סיום טיפול,בלתי מוצדק,23/11/2023,5
603, 50/22,2021-09-08 00:00:00,2022-10-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,המשרד להגנת הסביבה,מיחזור צמיגים,סיום טיפול,מוצדק,26/05/2022,105
604, 15/24,2023-10-19 00:00:00,2024-11-01 00:00:00,טופס מקוון,עמותה,"מרכז רקמן, אוניברסיטת בר אילן",אי מתן מענה,שירות בתי הסוהר,מידע סטטיסטי לשנתון,סיום טיפול,מוצדק,13/03/2024,62
605, 327/22,2022-04-07 00:00:00,2022-05-08 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הנהלת בתי המשפט,עדכון מניעויות רשמים,סיום טיפול,מוצדק חלקית,07/08/2022,2
606, 69/24,2024-01-01 00:00:00,2024-02-26 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,שירות בתי הסוהר,לוחות המזון לעצורים ולאסירים ביטחוניים,סיום טיפול,מוצדק,18/04/2024,52
607, 355/22,2022-06-14 00:00:00,2022-08-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תחומי אחריות כפר יונה,סיום טיפול,מוצדק,18/12/2022,118
608, 196/22,2022-08-01 00:00:00,2022-08-05 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פירוט חלוקת תמיכות,סיום טיפול,מוצדק,01/08/2022,86
609, 212/24,2024-05-15 00:00:00,2024-06-20 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,משטרת ישראל,"תיקי פלא נוער בהפגנות""",סיום טיפול,בלתי מוצדק,01/07/2024,11
610, 93/24,2023-08-11 00:00:00,2024-03-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה !במועד! סמוכין 395054 תאריך 08.11.23 ,סיום טיפול,בלתי מוצדק,19/03/2024,5
611, 419/23,2023-05-16 00:00:00,2023-09-22 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,מסמכי חידוש רישיון,סיום טיפול,מוצדק,08/02/2024,140
612, 94/22,2021-11-28 00:00:00,2022-03-13 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,שירות בתי הסוהר,אי קבלת מענה חופש המידע,סיום טיפול,מוצדק,24/03/2022,11
613, 309/22,2022-04-26 00:00:00,2022-07-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,פנייתי 65539,סיום טיפול,בלתי מוצדק,27/07/2022,2
614, 107/22,2021-11-05 00:00:00,2022-03-18 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,"רשימת משווקי בשר, עופות ודגים ומספרי הזיהוי הווטרינרי שלהם",סיום טיפול,מוצדק,26/05/2022,69
615, 267/24,2024-05-16 00:00:00,2024-07-17 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משרד התחבורה והבטיחות בדרכים,פרוטוקול רכבת,בטיפול,,,28
616, 21/22,2021-08-09 00:00:00,2022-01-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,השמדת קנאביס רפואי,סיום טיפול,מוצדק,13/02/2022,25
617, 158/22,2022-09-02 00:00:00,2022-07-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החינוך,בקשה לקבלת מידע עבור בית ספר בחיפה,סיום טיפול,מוצדק,28/04/2022,21
618, 129/24,2023-06-03 00:00:00,2024-04-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,הנחיית משרד המשפטים,סיום טיפול,מוצדק,03/07/2024,65
619, 7/24,2023-06-12 00:00:00,2024-05-01 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד ראש הממשלה,פירוט הטיפול בטופס פניות הציבור,סיום טיפול,בלתי מוצדק,29/01/2024,24
620, 249/23,2022-10-25 00:00:00,2023-06-26 00:00:00,טופס מקוון,עמותה,אנימלס,אי מתן מענה,משרד הבריאות,יבוא ושיווק דגים ומוצרי דגים,סיום טיפול,מוצדק,20/12/2023,177
621, 240/24,2024-05-28 00:00:00,2024-08-07 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,הרשות הארצית לכבאות והצלה,"בקשה לדוח כיבוי דליקה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה""",סיום טיפול,מוצדק,06/08/2024,29
622, 186/23,2023-03-22 00:00:00,2023-11-05 00:00:00,טופס מקוון,עמותה,"איחוד הישיבות בארי""",אי מתן מענה,"צהל""",ישיבות הסדר,סיום טיפול,מוצדק,31/08/2023,112
623, 43/23,2022-08-07 00:00:00,2023-08-02 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,לא נשלח הדוח," נשוא החלטת משרד הבריאות מה-13.11.22""",סיום טיפול,מוצדק,25/04/2023
624, 243/23,2023-06-13 00:00:00,2023-06-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,נוהל יממ,סיום טיפול,בלתי מוצדק,10/07/2023,15
625, 221/22,2022-05-18 00:00:00,2022-05-22 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,הנהלת בתי הדין הרבניים,פסילת הרכב דיינים בנתניה 2020 - 2022,סיום טיפול,מוצדק,31/07/2022,71
626, 280/23,2023-05-18 00:00:00,2023-07-19 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התיירות,מועדון הזמר האילתי,סיום טיפול,מוצדק,07/03/2024,232
627, 12/22,2021-07-29 00:00:00,2022-11-01 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,"שירותים והתקשרויות בין משרד הבריאות למדא לשנים 2019-2020""",סיום טיפול,מוצדק,16/03/2022,64
628, 85/22,2022-10-01 00:00:00,2022-02-03 00:00:00,טופס מקוון,אחר,,אי מתן מענה,רשות האוכלוסין וההגירה,בקשה לקבלת מידע לפי חוק חופש המידע,סיום טיפול,בלתי מוצדק,07/03/2022,5
629, 495/22,2022-01-10 00:00:00,2022-12-23 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משטרת ישראל,בקשת מידע,סיום טיפול,בלתי מוצדק,28/12/2022,5
630, 32/24,2023-09-10 00:00:00,2024-01-30 00:00:00,טופס מקוון,עמותה,האגודה לזכויות האזרח,אי מתן מענה,המשרד לביטחון לאומי,טיפול בבקשות לרישיונות לשאת כלי ירייה פרטי,סיום טיפול,מוצדק,04/04/2024,65
631, 29/22,2021-11-14 00:00:00,2022-01-25 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,האפוטרופוס הכללי והכונס הרשמי,קרן תובענות יצוגיות ,סיום טיפול,מוצדק,13/02/2022,19
632, 592/21,2021-04-10 00:00:00,2021-11-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,מסמכים הנוגעים לחברת גלים,סיום טיפול,מוצדק,30/05/2022,187
633, 464/23,2023-07-26 00:00:00,2023-07-11 00:00:00,טופס מקוון,עמותה,החברה להגנת הטבע,אי מתן מענה,משרד החקלאות ופיתוח הכפר,דיג במפרץ אילת,סיום טיפול,מוצדק,28/02/2024,113
634, 24/24,2023-11-10 00:00:00,2024-01-24 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה סמוכין 392394 מתאריך 11.10.23 ,סיום טיפול,בלתי מוצדק,07/02/2024,14
635, 263/24,2022-06-20 00:00:00,2024-07-15 00:00:00,טופס מקוון,אחר,,אי מתן מענה,משרד הבריאות,זמני המתנה לרופאים בקהילה,בטיפול,,,29
636, 105/24,2024-02-18 00:00:00,2024-03-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד החקלאות ופיתוח הכפר,תוכנית 2023 של פקידי יערות,סיום טיפול,מוצדק,24/06/2024,82
637, 91/24,2024-01-30 00:00:00,2024-03-14 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,אי מתן מענה והודעת ארכה לא לפי חוק,סיום טיפול,בלתי מוצדק,18/03/2024,5
638, 198/23,2023-04-16 00:00:00,2023-05-24 00:00:00,טופס מקוון,אזרח,,חוסר בהנמקה,משטרת ישראל,סירוב גורף לבקשת מידע  מיום 16.4.23,סיום טיפול,בלתי מוצדק,01/08/2024,435
639, 103/24,2023-08-11 00:00:00,2024-02-04 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד המשפטים,אי מתן מענה !במועד! סמוכין 395054 תאריך 08.11.23 ,סיום טיפול,בלתי מוצדק,03/04/2024,1
640, 211/24,2024-11-01 00:00:00,2024-06-19 00:00:00,טופס מקוון,עמותה,מוסרי,אי מתן מענה,המשרד לשוויון חברתי,הסכמי התקשוריות ומכרזים,סיום טיפול,מוצדק,27/06/2024,8
641, 459/22,2022-08-16 00:00:00,2022-11-29 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד הבריאות,בידוד נגיף הקורונה,סיום טיפול,מוצדק,02/03/2023,93
642, 306/22,2022-06-14 00:00:00,2022-07-21 00:00:00,טופס מקוון,אזרח,,אי מתן מענה,משרד התחבורה והבטיחות בדרכים,תחומי אחריות כפר יונה,סיום טיפול,מוצדק חלקית,25/07/2022,5
